Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
34	1791	5325	1765	0.9854829704075935	2.233389168062535	0.9454745	96.51821	1507.8	-3645.9	2.2340782	-2.4491124	17.110052	6.3217177	-212.53082	140000.0	-8.016136e-06	77.75858	-0.005251975	-4.2612686	0.09412257	0.005177602	0.035387922	79.0	175.93555617332458
35	1875	5595	1857	0.9904	2.1333333333333333	2.4250672	24.07919	484.1	-656.9	2.1333334	0.92098343	7.4093714	6.878573	-166.99615	144000.0	-9.250517e-09	12.961383	-0.0060314527	-0.57245445	0.065830864	0.005195312	0.020182688	79.0	184.63894391059875
36	1921	5745	1909	0.9937532535137948	2.082248828735034	3.7889585	50.30387	2170.1	-253.8	2.0828125	0.5680645	12.606457	7.092453	-170.98642	148000.0	-1.17351e-05	17.73204	-0.0031780694	-2.301425	0.037973545	0.0053002667	0.009502611	79.0	192.40322089195251
37	1948	5831	1937	0.99435318275154	2.0533880903490758	2.7698002	11.639404	440.1	-253.8	2.0354393	1.3538463	13.139706	7.16194	-200.03944	152000.0	1.1244443e-08	30.266697	-0.0015685936	-22.348785	0.026851524	0.00032620312	0.00525914	79.0	200.74370098114014
38	1919	5746	1912	0.9963522668056279	2.084418968212611	-1.3730061	483.08383	10596.1	-18317.4	2.084419	1.6872375	5.9009914	7.491911	-131.37395	156000.0	1.941326e-09	590.441	-0.009267321	-245.24603	0.022867791	0.0041690767	0.0140519235	79.0	208.38162207603455
39	1987	5956	1984	0.9984901862103673	2.0130850528434827	2.7015104	3.752697	94.7	-127.4	2.0130851	1.6834753	5.8698025	6.876257	-212.60292	160000.0	1.2872078e-09	7.9207077	-0.0008247794	-0.83135366	0.014854292	-3.1955366e-05	0.001004941	79.0	216.37834000587463
40	1991	5951	1980	0.994475138121547	2.0090406830738323	2.1522858	11.668728	44.6	-430.3	2.0090406	2.0358615	8.426906	7.0788603	-212.10574	164000.0	2.0939243e-08	16.784609	-0.0028514033	-1.0325251	0.013150763	0.00042536744	0.002762431	79.0	224.16275882720947
41	1997	5978	1990	0.9964947421131698	2.0030045067601403	2.4747	5.220624	32.1	-127.4	2.003507	2.440002	6.294407	6.9953346	-205.25731	168000.0	-1.4917139e-05	8.401907	-0.0020441094	-0.47894287	0.009433087	0.0037044808	0.0013353364	79.0	231.67920303344727
42	1991	5969	1987	0.9979909593169262	2.0090406830738323	2.7136116	2.0068996	59.2	-23.4	2.0090406	2.4210103	6.8429217	6.9032955	-200.14789	172000.0	-1.1395463e-08	11.998682	-0.0021758676	-0.5090866	0.009215552	5.011658e-05	0.0017558528	79.0	239.88691401481628
43	1966	5883	1959	0.996439471007121	2.034587995930824	1.4932826	70.56737	440.1	-3068.6	2.0351145	2.0142062	8.954357	6.828415	-129.72807	176000.0	-8.77395e-06	39.252613	-0.004070687	-0.7350197	0.011635273	0.0018015772	0.0039635687	79.0	247.91930603981018
44	1966	5890	1962	0.9979654120040692	2.034587995930824	3.754097	45.043358	1983.4	-127.4	2.0351145	1.4075205	11.120581	6.621317	-125.174614	180000.0	-1.8014305e-05	12.941655	-0.00073819084	-1.2454519	0.010435141	0.00227991	0.0007588533	79.0	255.6569788455963
45	1978	5930	1974	0.9979777553083923	2.0222446916076846	3.2669363	26.402409	1175.9	-23.4	2.0222447	2.881093	1.3490041	6.6499414	-16.116364	184000.0	-9.675932e-09	4.2516584	-0.008601995	-1.6672499	0.009931993	0.0014132818	0.0044504157	79.0	263.1525549888611
46	1994	5975	1991	0.9984954864593781	2.0060180541624875	2.594183	4.276545	44.6	-127.4	2.0060182	2.2256844	7.0862346	6.5032783	-185.01106	188000.0	3.5694914e-08	10.889459	-0.0013762881	-0.8664427	0.011275759	3.172061e-05	0.0011700793	79.0	271.06543493270874
47	1998	5992	1996	0.998998998998999	2.002002002002002	2.6841347	0.87142	13.4	-23.4	2.002002	2.9987216	4.4176226	6.397286	-181.2684	192000.0	-3.6889294e-09	4.8279796	-0.001150215	-0.36957026	0.009285938	0.00022483402	0.000583966	79.0	279.3250629901886
48	1995	5973	1989	0.9969924812030075	2.0050125313283207	2.503359	5.2983236	59.2	-127.4	2.0050125	2.7001274	6.446112	6.1160088	-174.697	196000.0	-1.5967132e-08	9.688201	-0.0015981747	-0.99350166	0.011575201	0.00019437345	0.0016714022	79.0	287.59056782722473
49	1994	5975	1991	0.9984954864593781	2.0060180541624875	2.598495	4.27435	32.1	-127.4	2.006523	2.4431832	7.4283166	5.814808	-165.43994	200000.0	-1.6426846e-05	11.270248	-0.0011443514	-2.90631	0.00940383	0.004646357	0.0013371218	79.0	295.33425402641296
50	1995	5979	1993	0.9989974937343359	2.0050125313283207	2.6714146	3.048543	32.1	-127.4	2.0055165	2.7715526	3.9913967	5.509128	-138.67892	204000.0	-2.7551278e-05	3.3724613	-0.00089645566	-0.35299397	0.008108086	0.0026056159	0.0011692976	79.0	303.7907588481903
51	1995	5978	1992	0.9984962406015038	2.0050125313283207	2.5922773	4.242345	32.1	-127.4	2.0055165	2.3506567	7.1931324	5.3436866	-133.24185	208000.0	-1.8071794e-05	10.788917	-0.0012281265	-0.9019785	0.010415034	0.0037227157	0.0023401587	79.0	313.26844692230225
52	1989	5956	1984	0.9974861739567622	2.0110608345902463	1.5578974	46.555756	59.2	-2064.3	2.0115695	2.8707387	6.3976974	5.1068487	-126.61288	212000.0	-1.5005946e-05	19.966894	-0.0028367052	-0.60461044	0.009322338	0.003799648	0.0022605492	79.0	321.67574095726013
53	1999	5990	1996	0.9984992496248124	2.001000500250125	2.6287792	2.97285	7.2	-127.4	2.0015016	2.3646631	3.30676	4.9278893	-123.47782	216000.0	-2.7837817e-05	2.504893	-0.0013701858	-0.03977871	0.007068759	0.0022982284	0.00083388924	79.0	330.0398111343384
