Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
33	127	180	31	0.2440944881889764	29.503937007874015	115.789764	157.89745	318.9	-926.1	28.503937	-14.501064	24.316742	7.481372	-92.59561	204000.0	2.4039082e-10	86606.375	-0.0030560684	-4193.297	0.25893253	0.0069885957	0.04615131	79.0	136.20122694969177
34	169	235	50	0.2958579881656805	22.23076923076923	120.38638	60.494	319.0	8.0	21.23077	-40.09867	42.076443	8.241875	-152.1842	210000.0	2.4422308e-08	1888.5507	-0.004436458	-1285.175	0.33942595	0.002357831	0.026167605	79.0	144.36112189292908
35	192	294	58	0.3020833333333333	19.083333333333332	101.56771	78.76962	289.0	-711.7	18.083334	-10.081982	13.336463	3.1080637	-65.67386	216000.0	-9.831295e-09	29798.771	-0.00355572	-417.5918	0.347205	0.004840123	0.052962594	79.0	149.9622459411621
36	171	233	45	0.2631578947368421	22.54385964912281	112.13391	114.903	307.2	-905.1	21.54386	-1.6306953	2.702012	6.575508	-10.150103	222000.0	-3.898721e-09	58034.86	-0.002772935	-1516.1523	0.30529046	0.005788232	0.073898084	79.0	155.0273938179016
37	221	336	71	0.3212669683257919	17.56108597285068	99.094124	57.627937	291.1	8.2	16.561087	-9.22434	19.056349	19.587206	-82.6256	228000.0	-2.1082347e-08	557.8513	-0.012459458	-159.57007	0.39105758	0.011190734	0.083693124	79.0	159.53837203979492
38	166	237	47	0.28313253012048195	22.650602409638555	115.40784	94.69518	280.4	-890.4	21.650602	-3.8855495	14.287666	31.50471	-57.16864	234000.0	-9.889042e-09	29159.371	-0.0023402118	-98.47266	0.2917578	0.0011521037	0.03117783	79.0	165.25651693344116
39	150	220	49	0.32666666666666666	24.973333333333333	120.253334	88.733376	308.8	-650.9	23.973333	-3.2942054	13.15358	29.329367	-41.325058	240000.0	4.7319935e-09	29724.428	-0.0024426281	-629.0117	0.2925935	0.0025344065	0.025611559	79.0	170.36376404762268
40	145	209	46	0.31724137931034485	26.613793103448277	122.15862	117.76046	320.4	-766.4	25.613792	-6.4928303	5.959764	2.6658347	-25.859285	246000.0	9.949518e-09	57876.008	-0.003393768	-2411.961	0.29478276	0.015120391	0.06743958	63.0	175.81301379203796
41	242	354	81	0.3347107438016529	16.326446280991735	96.95123	52.205975	270.5	8.0	15.326447	-27.63924	29.873814	3.133706	-120.19849	252000.0	-4.6440068e-08	1175.8207	-0.005920508	-763.8119	0.40221363	0.0026526258	0.03202377	79.0	181.66666674613953
42	196	285	67	0.34183673469387754	18.8265306122449	103.70101	87.999374	270.7	-858.8	17.82653	-10.274891	11.255961	11.253047	-53.63926	258000.0	-6.4834618e-09	29451.758	-0.00951933	-292.23047	0.35068986	0.015824212	0.0732273	75.0	186.18472409248352
43	264	348	88	0.3333333333333333	14.56439393939394	87.85454	53.3903	325.6	2.6	13.564394	-4.5726976	6.5889044	16.108585	-26.792824	264000.0	-1.1550689e-07	311.3218	-0.02871202	-38.373505	0.41501534	0.017668642	0.13153961	7.0	191.336523771286
44	144	220	52	0.3611111111111111	26.770833333333332	119.10348	130.61815	325.4	-953.4	25.770834	-2.4607985	6.7231526	23.470018	-28.522022	270000.0	3.6198233e-09	57702.54	-0.0008354032	-1767.7109	0.28922823	0.0048112296	0.056622192	79.0	196.8770158290863
45	113	177	44	0.3893805309734513	32.8141592920354	93.023895	228.19571	304.9	-1039.7	31.81416	-26.483673	29.933298	46.00441	-110.73429	276000.0	-7.570514e-09	170274.69	-0.0052544773	-4720.6875	0.22916248	0.01510801	0.045499343	76.0	202.76285815238953
46	179	256	68	0.37988826815642457	21.06145251396648	122.348045	57.62378	318.1	-0.5	20.061453	-48.448788	43.664524	-2.5013485	-209.7886	282000.0	-6.3588836e-08	2222.7644	-0.0044087777	-1441.806	0.3316079	0.0028201255	0.022889368	79.0	207.7938129901886
47	182	274	67	0.36813186813186816	20.445054945054945	116.880775	56.52697	286.6	16.5	19.445055	-17.816769	19.358053	32.651154	-85.75839	288000.0	4.121987e-08	744.3273	-0.006791446	-250.56549	0.33243066	0.0019969586	0.075327694	79.0	213.43854975700378
