Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
30	1333	1941	647	0.48537134283570893	2.0045011252813203	1.6843208	4.1543856	3.3	-9.2	1.0045011	1.64941	0.93991965	3.2965565	0.022062942	124000.0	-3.9528075e-08	1.639934	-0.00015091713	-0.00012814999	0.010876636	6.352947e-05	0.0	79.0	80.0643720626831
31	1333	2055	685	0.5138784696174044	2.003750937734434	1.9151537	3.8867378	3.3	-9.0	1.0037509	1.7497774	0.9295724	3.3000565	0.038117915	128000.0	-3.5697287e-08	1.4572196	-0.00011054067	-0.0060521364	0.009033471	-9.8611445e-06	0.0012487513	79.0	82.65410614013672
32	1332	1962	654	0.49099099099099097	2.006006006006006	1.6458707	4.1950927	3.3	-9.2	1.006006	1.8425032	0.82458365	3.3041475	0.1499212	132000.0	1.0853955e-08	1.6720167	-8.599208e-05	-0.008829832	0.010876411	0.00017302007	0.00074925076	79.0	85.20516014099121
33	1333	1971	657	0.49287321830457614	2.003750937734434	1.6383345	4.203365	3.3	-9.0	1.0037509	1.6547022	0.9458949	3.2984142	0.054898053	136000.0	-1.1042709e-07	1.6623708	-3.600694e-05	-7.56979e-05	0.009039028	5.55894e-05	0.0	79.0	87.8476710319519
34	1333	1989	663	0.4973743435858965	2.003750937734434	2.0074267	3.7712755	3.3	-9.2	1.0037509	1.6737486	0.9222959	3.2980864	0.0061516576	140000.0	-3.9895216e-08	1.4157597	-0.00014115525	-0.024100184	0.007582437	0.00010387773	0.0012487513	79.0	90.4686930179596
35	1333	1944	648	0.48612153038259565	2.003000750187547	1.712303	4.1236296	3.3	-9.2	1.0030007	1.9662832	0.75385946	3.306857	0.22671923	144000.0	-8.8565685e-08	1.6347708	-0.00013663644	-0.014271617	0.0062845093	0.00012337885	0.0009992506	79.0	93.06912612915039
36	1334	1952	650	0.487256371814093	2.000749625187406	1.6586204	4.1824665	3.3	-9.0	1.0007496	1.7220256	0.9119793	3.3020759	0.18034895	148000.0	8.485528e-08	1.6562505	-0.00016456877	-0.0007150173	0.004812706	3.0603107e-05	0.00024981264	79.0	95.62932014465332
37	1335	1998	666	0.49887640449438203	2.0	1.7152807	4.1207657	3.3	-9.0	1.0	1.6663145	0.9258388	3.2885604	0.06898919	152000.0	-6.9620604e-08	1.6124161	2.503246e-08	-0.00042128563	0.004026452	-2.3841858e-06	0.0	79.0	98.3601861000061
38	1334	1926	642	0.48125937031484256	2.001499250374813	1.7598948	4.0708017	3.3	-9.2	1.0014993	1.704239	0.9085416	3.2992368	0.051683493	156000.0	1.4123353e-08	1.5869684	-9.124313e-05	-0.0005733967	0.0040069255	2.8022876e-05	0.0004995005	79.0	101.1580159664154
39	1334	1890	630	0.47226386806596704	2.001499250374813	1.6123686	4.2315645	3.3	-9.0	1.0014993	1.7247541	0.8788154	3.299524	0.08559337	160000.0	2.5366212e-08	1.6962011	-2.3978453e-05	-0.002764225	0.0033296226	-2.3953922e-05	0.0004995005	79.0	103.9308671951294
40	1334	2013	671	0.5029985007496252	2.002248875562219	1.593778	4.2508698	3.3	-9.0	1.0022489	1.6712524	0.9820016	3.2994256	0.011408817	164000.0	-1.8662728e-08	1.6821808	-5.7883924e-05	-0.0013923645	0.003915485	-6.4138825e-05	0.0007490637	79.0	106.5662100315094
41	1334	2100	700	0.5247376311844077	2.002248875562219	1.8427284	3.9748013	3.3	-9.2	1.0022489	1.6242296	0.9844698	3.3000593	-0.12454611	168000.0	-7.360913e-08	1.5205141	-0.000101469544	-0.010424018	0.0046979487	6.685924e-05	0.0007490637	79.0	109.28797507286072
42	1334	1944	648	0.48575712143928035	2.000749625187406	1.5295349	4.3178754	3.3	-9.2	1.0007496	1.7701877	0.8758516	3.2990677	0.10657896	172000.0	-3.7939703e-08	1.7554048	-0.000114347175	-0.012969494	0.0038924918	-3.2486987e-05	0.00024981264	79.0	111.88466811180115
43	1335	1986	662	0.4958801498127341	2.0	1.7152808	4.1207657	3.3	-9.0	1.0	1.5762	1.0160042	3.3025923	-0.15450798	176000.0	-2.9744653e-08	1.6113951	3.834119e-09	-0.0043838024	0.0029485521	-2.3871624e-07	0.0	79.0	114.5060670375824
44	1334	2019	673	0.5044977511244377	2.002248875562219	1.833508	3.9851987	3.3	-9.0	1.0022489	1.736401	0.92604125	3.2981606	0.042263374	180000.0	-1.0790784e-08	1.5189943	-9.743371e-06	-0.002034068	0.0029440182	-5.5070344e-05	0.0	79.0	117.1635320186615
45	1334	2049	683	0.5119940029985007	2.000749625187406	1.7784858	4.0494204	3.3	-9.0	1.0007496	1.8201702	0.8581187	3.2973328	0.10676135	184000.0	1.3162754e-08	1.5606003	-3.0265668e-05	-0.0004273653	0.0032866911	2.8239052e-05	0.00024981264	79.0	119.92751502990723
